PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,ObjectID,x,y
BC-0223,,375629,3890650,7051.5,S-02321,320,320,,1312,-106.3654256,35.15107871
BW-0406,,410459,3630830,4148,,,205,110ALVM,1313,-105.9564864,32.81181972
SM-0053,,440168,3646224,7736.8,PN-00767,350,350,300YESO,1314,-105.6401537,32.95269549
TO-0439,,395794,3884750,6450,,,267,112QTBF,1315,-106.143342,35.10018003
EB-368,,405580,3948470,6536.71,RG-33645,520,520,121TSUQs,1316,-106.0433605,35.67560464
ED-0328,,562854,3567850,3620,,,100,313CPTN,1317,-104.3327953,32.24556564
QY-0451,,668392,3911530,3810,,284,284,231SNRS,1318,-103.1472245,35.33284878
WL-0096,,588088,3609460,3312,CP-0741,230,230,312RSLR,1319,-104.0610734,32.61918914
ED-0004,,540931,3643760,3565,,,750,313CKBF,1320,-104.5621908,32.93134227
QY-0135,,676836,3885580,3980,,154,154,231CHNL,1321,-103.0599375,35.09753005
SO-0093,,354374,3790270,5943.97,,,60,310ABO,1322,-106.581389,34.2433582
SO-0066,,316322,3806990,5368,,,90,122PPTS,1323,-106.9979734,34.38803065
QY-0286,,626136,3888420,4010,,59,59,231CHNL,1324,-103.615562,35.13075643
MG-015,,293201,3772735,7103.34,RG-80960,210,210,,1325,-107.2411152,34.0749732
ED-0245,,576500,3579820,3120,,,205,110ALVM,1326,-104.1869869,32.3526929
SV-0145,,380307,3901176,6265.43,RG-76855 POD2,400,400,325MDER,1327,-106.3156095,35.24653596
QY-0357,,670230,3894310,3900,,238,238,231CHNL,1328,-103.1305788,35.17734643
QY-0586,,599976,3835610,4700,,108,108,121OGLL,1329,-103.9089514,34.65756394
ED-0168,,551146,3578690,3880,,,17,313CLBD,1330,-104.4564907,32.34394828
BW-0235,,405496,3662070,4540,,,327,110ALVM,1331,-106.0127024,33.09315832
SA-0219,,248118,3709216,6828.83,RG-57948,350,350,112QTBFppm,1332,-107.7111393,33.49285063
NM-23281,3.51347E+14,381189,3899306,6383,RG-65109,175,175,325MDER,1333,-106.305647,35.22978339
DA-0011,,327606,3614820,4380,,,,112SNTF,1334,-106.8382561,32.65758623
QY-0289,,619628,3896370,4100,,110,110,231CHNL,1335,-103.6858229,35.20321909
MI-0219,,585929,3938721,4473.11,,,70,231CHNL,1336,-104.0515121,35.58849147
BW-0180,,399781,3662140,4360,,,,110ALVM,1337,-106.0739423,33.09327713
